list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
B,DLKZFLZV,opq_con,mister,201,arch,ARCH,1,urch,211,5,300,2,a,1,coda
B,LVFXKFCW,opq_con,dormant,201,brand,BRAND,2,ind,211,5,200,2,a,2,coda
B,LVJYDPXV,opq_con,archer,201,corn,CORN,3,urn,211,5,500,2,a,3,coda
B,QQLJHGZG,opq_con,render,201,dorm,DORM,4,arm,211,5,400,2,a,4,coda
B,YXMMDPJP,opq_con,question,201,east,EAST,5,ast,211,5,300,2,a,5,coda
B,SMQHSTGL,opq_con,corner,201,fair,FAIR,6,or,211,5,500,2,a,6,coda
B,CZVXSXZC,opq_con,ponder,201,fig,FIG,7,ag,211,5,100,2,a,7,coda
B,PVFDXXVZ,opq_con,tenuous,201,gloss,GLOSS,8,ass,211,5,500,2,a,8,coda
B,QVXDKBSF,opq_con,pillage,201,helm,HELM,9,im,212,5,200,2,a,9,none
B,KVQSQHYT,opq_con,limber,201,inn,INN,10,and,212,5,500,2,a,10,none
B,WPWCZXVJ,opq_con,figment,201,limb,LIMB,11,ast,212,5,400,2,a,11,none
B,CFDKKPHP,opq_con,glossary,201,man,MAN,12,ig,212,5,100,2,a,12,none
B,KPKFWYZK,opq_con,brandish,201,mast,MAST,13,ill,212,5,300,2,a,13,none
B,PPZBVBFG,opq_con,sandal,201,mist,MIST,14,elm,212,5,400,2,a,14,none
B,QYFBYHYJ,opq_con,tactile,201,past,PAST,15,in,212,5,200,2,a,15,none
B,QZDCVVBK,opq_con,helmet,201,pill,PILL,16,and,212,5,500,2,a,16,none
B,YXHQXFMZ,opq_con,tractable,201,pond,POND,17,ond,210,6,300,2,a,17,rime
B,DXYFLBJY,opq_con,inner,201,quest,QUEST,18,est,210,6,500,2,a,18,rime
B,WQLHQCPV,opq_con,easter,201,rend,REND,19,end,210,6,300,2,a,19,rime
B,FHGFBCPF,opq_con,treaty,201,sand,SAND,20,and,210,6,300,2,a,20,rime
B,HZWBDGSV,opq_con,fairy,201,tact,TACT,21,act,210,6,500,2,a,21,rime
B,WPLXDYCR,opq_con,manage,201,ten,TEN,22,end,210,6,500,2,a,22,rime
