list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
A,DLKZFLZV,opq_con,archer,200,arch,ARCH,1,urch,211,5,300,2,a,1,coda
A,LVFXKFCW,opq_con,brandish,200,brand,BRAND,2,ind,211,5,200,2,a,2,coda
A,LVJYDPXV,opq_con,corner,200,corn,CORN,3,urn,211,5,500,2,a,3,coda
A,QQLJHGZG,opq_con,dormant,200,dorm,DORM,4,arm,211,5,400,2,a,4,coda
A,YXMMDPJP,opq_con,easter,200,east,EAST,5,ast,211,5,300,2,a,5,coda
A,SMQHSTGL,opq_con,fairy,200,fair,FAIR,6,or,211,5,500,2,a,6,coda
A,CZVXSXZC,opq_con,figment,200,fig,FIG,7,ag,211,5,100,2,a,7,coda
A,PVFDXXVZ,opq_con,glossary,200,gloss,GLOSS,8,ass,211,5,500,2,a,8,coda
A,QVXDKBSF,opq_con,helmet,200,helm,HELM,9,im,212,5,200,2,a,9,none
A,KVQSQHYT,opq_con,inner,200,inn,INN,10,and,212,5,500,2,a,10,none
A,WPWCZXVJ,opq_con,limber,200,limb,LIMB,11,ast,212,5,400,2,a,11,none
A,CFDKKPHP,opq_con,manage,200,man,MAN,12,ig,212,5,100,2,a,12,none
A,KPKFWYZK,opq_con,master,200,mast,MAST,13,ill,212,5,300,2,a,13,none
A,PPZBVBFG,opq_con,mister,200,mist,MIST,14,elm,212,5,400,2,a,14,none
A,QYFBYHYJ,opq_con,pasture,200,past,PAST,15,in,212,5,200,2,a,15,none
A,QZDCVVBK,opq_con,pillage,200,pill,PILL,16,and,212,5,500,2,a,16,none
A,YXHQXFMZ,opq_con,ponder,200,pond,POND,17,ond,210,6,300,2,a,17,rime
A,DXYFLBJY,opq_con,question,200,quest,QUEST,18,est,210,6,500,2,a,18,rime
A,WQLHQCPV,opq_con,render,200,rend,REND,19,end,210,6,300,2,a,19,rime
A,FHGFBCPF,opq_con,sandal,200,sand,SAND,20,and,210,6,300,2,a,20,rime
A,HZWBDGSV,opq_con,tactile,200,tact,TACT,21,act,210,6,500,2,a,21,rime
A,WPLXDYCR,opq_con,tenuous,200,ten,TEN,22,end,210,6,500,2,a,22,rime
A,WJKQFMWQ,opq_con,tractable,200,tract,TRACT,23,act,210,6,300,2,a,23,rime
A,QVDGKQXP,opq_con,treaty,200,treat,TREAT,24,eat,210,6,200,2,a,24,rime
A,YYKPWPKM,opq_inc,bother,200,both,BOTH,49,auth (voiced),211,5,300,2,a,49,coda
