list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
A,HHMPGLQK,ortho,bandit,201,surf,SURF,143,urf,210,6,100,2,b,43,rime
A,ZPDYBWRD,ortho,shovel,201,tea,TEA,144,ee,210,6,500,2,b,44,rime
A,MXJXYZKF,ortho,dragon,201,tin,TIN,145,in,210,6,100,2,b,45,rime
A,YFBVZBQV,ortho,harpoon,201,twit,TWIT,146,it,210,6,500,2,b,46,rime
A,MYCBHBKZ,ortho,pertain,201,vow,VOW,147,ow,210,6,400,2,b,47,rime
A,DGHDRVHV,ortho,pulpit,201,yell,YELL,148,ell,210,6,400,2,b,48,rime
A,XDDFVDTN,trans,rower,201,back,BACK,175,ock,211,5,400,2,b,73,coda
A,KHFVKGVC,trans,bumper,201,bold,BOLD,176,ild,211,5,500,2,b,74,coda
A,WMYHFWVM,trans,painter,201,box,BOX,177,ex,211,5,100,2,b,75,coda
A,HGCTTLWG,trans,risky,201,bump,BUMP,178,omp,211,5,200,2,b,76,coda
A,GPSYGCZL,trans,boxer,201,edit,EDIT,179,ide,211,5,100,2,b,77,coda
A,ZPQKJNPX,trans,mutely,201,glum,GLUM,180,ome,211,5,500,2,b,78,coda
A,JSPZCYHK,trans,vendor,201,grow,GROW,181,eye,211,5,100,2,b,79,coda
A,FGXSGJXV,trans,rainy,201,hold,HOLD,182,ild,211,5,300,2,b,80,coda
A,JXGVVYYQ,trans,leader,201,hunt,HUNT,183,end,212,5,300,2,b,81,none
A,CPBCTXVG,trans,walker,201,lead,LEAD,184,ed,212,5,500,2,b,82,none
A,VVXXWPSZ,trans,editor,201,mock,MOCK,185,isk,212,5,400,2,b,83,none
A,WWBZNBHS,trans,mockery,201,mute,MUTE,186,ock,212,5,300,2,b,84,none
A,XWZGBCMB,trans,holder,201,paint,PAINT,187,ock,212,5,200,2,b,85,none
A,HJHHCXKV,trans,wattage,201,pass,PASS,188,ump,212,5,100,2,b,86,none
A,HHXFVFHH,trans,talker,201,rain,RAIN,189,unt,212,5,300,2,b,87,none
A,FHZPDDXH,trans,sailor,201,risk,RISK,190,old,212,5,400,2,b,88,none
A,JZYPQJKZ,trans,hunter,201,row,ROW,191,oh,210,6,500,2,b,89,rime
A,CJVMHMGV,trans,boldness,201,sail,SAIL,192,ail,210,6,200,2,b,90,rime
A,ZVTCXDKQ,trans,grower,201,sing,SING,193,ing,210,6,200,2,b,91,rime
A,MJCHFXXM,trans,singer,201,talk,TALK,194,ock,210,6,200,2,b,92,rime
A,SSTZJSQZ,trans,glumly,201,vend,VEND,195,end,210,6,200,2,b,93,rime
A,NLSZTDZH,trans,backer,201,view,VIEW,196,you,210,6,100,2,b,94,rime
A,ZXYBHVCD,trans,passage,201,walk,WALK,197,ock,210,6,500,2,b,95,rime
A,NFQFSCFP,trans,viewer,201,watt,WATT,198,ott,210,6,100,2,b,96,rime
