list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
B,DRTQQXCL,ortho,pumpkin,201,ban,BAN,101,urt,212,5,300,3,b,1,none
B,ZMSXPJMX,ortho,ridge,201,bang,BANG,102,are,212,5,500,3,b,2,none
B,VZZYRWWX,ortho,little,201,bee,BEE,103,ash,212,5,500,3,b,3,none
B,ZQSPDFFY,ortho,twinkle,201,bun,BUN,104,ee,212,5,300,3,b,4,none
B,VJBJVVYV,ortho,sight,201,cash,CASH,105,in,212,5,200,3,b,5,none
B,TVFJDVGK,ortho,harmony,201,coup,COUP,106,and,212,5,500,3,b,6,none
B,QMGVZGPH,ortho,banjo,201,curt,CURT,107,oop,212,5,500,3,b,7,none
B,KQPQMLBG,ortho,hitch,201,free,FREE,108,art,212,5,100,3,b,8,none
B,SKZBZSZC,ortho,lentil,201,harm,HARM,109,arm,210,6,300,3,b,9,rime
B,JJPMDWSQ,ortho,freeze,201,hit,HIT,110,it,210,6,200,3,b,10,rime
B,ZYYXXFXJ,ortho,bunch,201,lent,LENT,111,ent,210,6,500,3,b,11,rime
B,YWMNPRFW,ortho,beech,201,lit,LIT,112,it,210,6,100,3,b,12,rime
B,QHYWFVDY,ortho,bangle,201,part,PART,113,art,210,6,200,3,b,13,rime
B,GVBGYQVG,ortho,tendril,201,pin,PIN,114,in,210,6,300,3,b,14,rime
B,WJWXQFJJ,ortho,starch,201,plant,PLANT,115,ant,210,6,400,3,b,15,rime
B,XFGQGSHJ,ortho,vandal,201,pump,PUMP,116,ump,210,6,200,3,b,16,rime
B,QZFSBVLW,ortho,partner,201,rid,RID,117,eed,211,5,500,3,b,17,coda
B,BRRXZDLW,ortho,coupon,201,sigh,SIGH,118,ee,211,5,100,3,b,18,coda
B,KPJNYYZV,ortho,cashew,201,star,STAR,119,ear,211,5,100,3,b,19,coda
B,HCDDFXJY,ortho,plantain,201,surge,SURGE,120,arge,211,5,200,3,b,20,coda
B,ZBBQFJMH,ortho,surgeon,201,tend,TEND,121,ond,211,5,500,3,b,21,coda
B,CCVMCRBC,ortho,window,201,twin,TWIN,122,an,211,5,100,3,b,22,coda
B,HGPBFHSP,ortho,curtail,201,van,VAN,123,in,211,5,100,3,b,23,coda
B,YKMMBTZY,ortho,pinch,201,wind,WIND,124,end,211,5,400,3,b,24,coda
B,QFVZPDBF,trans,leakage,201,act,ACT,151,ill,212,5,200,3,b,49,none
B,JFTCTCTX,trans,killer,201,bind,BIND,152,olf,212,5,400,3,b,50,none
B,ZHHDHDTY,trans,golfer,201,bomb,BOMB,153,erb,212,5,300,3,b,51,none
B,CVXQDPLM,trans,soften,201,brew,BREW,154,erb,212,5,500,3,b,52,none
B,XXNMRZMW,trans,vastly,201,child,CHILD,155,oo,212,5,300,3,b,53,none
B,MWVVWJKM,trans,binder,201,flex,FLEX,156,ust,212,5,100,3,b,54,none
B,JXJWBCBW,trans,shyness,201,golf,GOLF,157,ex,212,5,500,3,b,55,none
B,ZFTWGKDQ,trans,pompous,201,herb,HERB,158,eek,212,5,100,3,b,56,none
B,FRDQRXSF,trans,voltage,201,hot,HOT,159,ott,210,6,200,3,b,57,rime
B,NXVFQQYG,trans,roller,201,kill,KILL,160,ill,210,6,200,3,b,58,rime
B,PJBPPSPQ,trans,actor,201,leak,LEAK,161,eek,210,6,400,3,b,59,rime
B,DWDYTWTJ,trans,herbal,201,mile,MILE,162,aisle,210,6,300,3,b,60,rime
B,FQSTXHZC,trans,bomber,201,mow,MOW,163,oh,210,6,200,3,b,61,rime
B,DXZFYHFQ,trans,verbal,201,pack,PACK,164,ack,210,6,400,3,b,62,rime
B,JCBBGFYC,trans,warmth,201,pomp,POMP,165,omp,210,6,300,3,b,63,rime
B,BQHQYHQX,trans,mower,201,rent,RENT,166,ent,210,6,400,3,b,64,rime
B,WMYZGTKN,trans,childish,201,roll,ROLL,167,ell,211,5,400,3,b,65,coda
B,GNCGCJQD,trans,hotly,201,rust,RUST,168,owst,211,5,100,3,b,66,coda
B,FGKLVBMX,trans,rusty,201,shy,SHY,169,ow,211,5,400,3,b,67,coda
B,QZVRMRMY,trans,package,201,soft,SOFT,170,ift,211,5,500,3,b,68,coda
