list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
B,HHMPGLQK,ortho,surface,200,surf,SURF,143,eat,212,5,300,1,b,43,none
B,ZPDYBWRD,ortho,tease,200,tea,TEA,144,ell,212,5,400,1,b,44,none
B,MXJXYZKF,ortho,tinsel,200,tin,TIN,145,ease,212,5,200,1,b,45,none
B,YFBVZBQV,ortho,twitch,200,twit,TWIT,146,ane,212,5,300,1,b,46,none
B,MYCBHBKZ,ortho,vowel,200,vow,VOW,147,id,212,5,400,1,b,47,none
B,DGHDRVHV,ortho,yellow,200,yell,YELL,148,ow,212,5,300,1,b,48,none
B,XDDFVDTN,trans,backer,200,back,BACK,175,ack,210,6,200,1,b,73,rime
B,KHFVKGVC,trans,boldness,200,bold,BOLD,176,old,210,6,500,1,b,74,rime
B,WMYHFWVM,trans,boxer,200,box,BOX,177,ox,210,6,300,1,b,75,rime
B,HGCTTLWG,trans,bumper,200,bump,BUMP,178,ump,210,6,400,1,b,76,rime
B,GPSYGCZL,trans,editor,200,edit,EDIT,179,ed,210,6,500,1,b,77,rime
B,ZPQKJNPX,trans,glumly,200,glum,GLUM,180,um,210,6,500,1,b,78,rime
B,JSPZCYHK,trans,grower,200,grow,GROW,181,oh,210,6,200,1,b,79,rime
B,FGXSGJXV,trans,holder,200,hold,HOLD,182,old,210,6,100,1,b,80,rime
B,JXGVVYYQ,trans,hunter,200,hunt,HUNT,183,aint,211,5,400,1,b,81,coda
B,CPBCTXVG,trans,leader,200,lead,LEAD,184,id,211,5,500,1,b,82,coda
B,VVXXWPSZ,trans,mockery,200,mock,MOCK,185,ick,211,5,100,1,b,83,coda
B,WWBZNBHS,trans,mutely,200,mute,MUTE,186,ote,211,5,400,1,b,84,coda
B,XWZGBCMB,trans,painter,200,paint,PAINT,187,ent,211,5,200,1,b,85,coda
B,HJHHCXKV,trans,passage,200,pass,PASS,188,ess,211,5,200,1,b,86,coda
B,HHXFVFHH,trans,rainy,200,rain,RAIN,189,een,211,5,500,1,b,87,coda
B,FHZPDDXH,trans,risky,200,risk,RISK,190,ask,211,5,500,1,b,88,coda
B,JZYPQJKZ,trans,rower,200,row,ROW,191,you,212,5,400,1,b,89,none
B,CJVMHMGV,trans,sailor,200,sail,SAIL,192,yoot,212,5,500,1,b,90,none
B,ZVTCXDKQ,trans,singer,200,sing,SING,193,ock,212,5,500,1,b,91,none
B,MJCHFXXM,trans,talker,200,talk,TALK,194,aint,212,5,500,1,b,92,none
B,SSTZJSQZ,trans,vendor,200,vend,VEND,195,ott,212,5,500,1,b,93,none
B,NLSZTDZH,trans,viewer,200,view,VIEW,196,um,212,5,200,1,b,94,none
B,ZXYBHVCD,trans,walker,200,walk,WALK,197,ox,212,5,300,1,b,95,none
B,NFQFSCFP,trans,wattage,200,watt,WATT,198,ane,212,5,500,1,b,96,none
