list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
A,DRTQQXCL,ortho,banjo,200,ban,BAN,101,urt,212,5,300,3,b,1
A,ZMSXPJMX,ortho,bangle,200,bang,BANG,102,are,212,5,500,3,b,2
A,VZZYRWWX,ortho,beech,200,bee,BEE,103,ash,212,5,500,3,b,3
A,ZQSPDFFY,ortho,bunch,200,bun,BUN,104,ee,212,5,300,3,b,4
A,VJBJVVYV,ortho,cashew,200,cash,CASH,105,in,212,5,200,3,b,5
A,TVFJDVGK,ortho,coupon,200,coup,COUP,106,and,212,5,500,3,b,6
A,QMGVZGPH,ortho,curtail,200,curt,CURT,107,oop,212,5,500,3,b,7
A,KQPQMLBG,ortho,freeze,200,free,FREE,108,art,212,5,100,3,b,8
A,SKZBZSZC,ortho,harmony,200,harm,HARM,109,arm,210,6,300,3,b,9
A,JJPMDWSQ,ortho,hitch,200,hit,HIT,110,it,210,6,200,3,b,10
A,ZYYXXFXJ,ortho,lentil,200,lent,LENT,111,ent,210,6,500,3,b,11
A,YWMNPRFW,ortho,little,200,lit,LIT,112,it,210,6,100,3,b,12
A,QHYWFVDY,ortho,partner,200,part,PART,113,art,210,6,200,3,b,13
A,GVBGYQVG,ortho,pinch,200,pin,PIN,114,in,210,6,300,3,b,14
A,WJWXQFJJ,ortho,plantain,200,plant,PLANT,115,ant,210,6,400,3,b,15
A,XFGQGSHJ,ortho,pumpkin,200,pump,PUMP,116,ump,210,6,200,3,b,16
A,QZFSBVLW,ortho,ridge,200,rid,RID,117,eed,211,5,500,3,b,17
A,BRRXZDLW,ortho,sight,200,sigh,SIGH,118,ee,211,5,100,3,b,18
A,KPJNYYZV,ortho,starch,200,star,STAR,119,ear,211,5,100,3,b,19
A,HCDDFXJY,ortho,surgeon,200,surge,SURGE,120,arge,211,5,200,3,b,20
A,ZBBQFJMH,ortho,tendril,200,tend,TEND,121,ond,211,5,500,3,b,21
A,CCVMCRBC,ortho,twinkle,200,twin,TWIN,122,an,211,5,100,3,b,22
A,HGPBFHSP,ortho,vandal,200,van,VAN,123,in,211,5,100,3,b,23
A,YKMMBTZY,ortho,window,200,wind,WIND,124,end,211,5,400,3,b,24
A,QFVZPDBF,trans,actor,200,act,ACT,151,ill,212,5,200,3,b,49
A,JFTCTCTX,trans,binder,200,bind,BIND,152,olf,212,5,400,3,b,50
A,ZHHDHDTY,trans,bomber,200,bomb,BOMB,153,erb,212,5,300,3,b,51
A,CVXQDPLM,trans,brewery,200,brew,BREW,154,erb,212,5,500,3,b,52
A,XXNMRZMW,trans,childish,200,child,CHILD,155,oo,212,5,300,3,b,53
A,MWVVWJKM,trans,flexible,200,flex,FLEX,156,ust,212,5,100,3,b,54
A,JXJWBCBW,trans,golfer,200,golf,GOLF,157,ex,212,5,500,3,b,55
A,ZFTWGKDQ,trans,herbal,200,herb,HERB,158,eek,212,5,100,3,b,56
A,FRDQRXSF,trans,hotly,200,hot,HOT,159,ott,210,6,200,3,b,57
A,NXVFQQYG,trans,killer,200,kill,KILL,160,ill,210,6,200,3,b,58
A,PJBPPSPQ,trans,leakage,200,leak,LEAK,161,eek,210,6,400,3,b,59
A,DWDYTWTJ,trans,mileage,200,mile,MILE,162,aisle,210,6,300,3,b,60
A,FQSTXHZC,trans,mower,200,mow,MOW,163,oh,210,6,200,3,b,61
A,DXZFYHFQ,trans,package,200,pack,PACK,164,ack,210,6,400,3,b,62
A,JCBBGFYC,trans,pompous,200,pomp,POMP,165,omp,210,6,300,3,b,63
A,BQHQYHQX,trans,renter,200,rent,RENT,166,ent,210,6,400,3,b,64
A,WMYZGTKN,trans,roller,200,roll,ROLL,167,ell,211,5,400,3,b,65
A,GNCGCJQD,trans,rusty,200,rust,RUST,168,owst,211,5,100,3,b,66
A,FGKLVBMX,trans,shyness,200,shy,SHY,169,ow,211,5,400,3,b,67
A,QZVRMRMY,trans,soften,200,soft,SOFT,170,ift,211,5,500,3,b,68
A,HHDHCHDD,trans,vastly,200,vast,VAST,171,ost,211,5,500,3,b,69
A,HKSWZZWN,trans,verbal,200,verb,VERB,172,orb,211,5,500,3,b,70
A,JRJCHFSC,trans,voltage,200,volt,VOLT,173,ult,211,5,100,3,b,71
A,VSPYQKVY,trans,warmth,200,warm,WARM,174,arm,211,5,100,3,b,72
A,ZCZXSQYQ,ortho,vowel,201,band,BAND,125,itch,212,5,400,3,b,25
A,CJDJHVHC,ortho,yellow,201,bar,BAR,126,of,212,5,200,3,b,26
A,NMFVYYKN,ortho,twitch,201,bell,BELL,127,app,212,5,100,3,b,27
A,GYFJJKDD,ortho,tease,201,cart,CART,128,ag,212,5,100,3,b,28
A,VWWKYYQJ,ortho,sparse,201,cost,COST,129,ort,212,5,300,3,b,29
A,PXHMJVFL,ortho,quartz,201,drag,DRAG,130,ess,212,5,300,3,b,30
A,QDCHHTXB,ortho,napkin,201,fell,FELL,131,ulp,212,5,500,3,b,31
A,VWFQWJGJ,ortho,peach,201,harp,HARP,132,and,212,5,200,3,b,32
A,PGMMRCBV,ortho,tinsel,201,kid,KID,133,id,210,6,100,3,b,33
A,HWVJHJDY,ortho,carton,201,less,LESS,134,ess,210,6,500,3,b,34
A,WXVGXRVV,ortho,costume,201,nap,NAP,135,app,210,6,100,3,b,35
A,JNKSGBDK,ortho,fellow,201,pea,PEA,136,ee,210,6,400,3,b,36
A,MSKXMMQF,ortho,bellow,201,pert,PERT,137,urt,210,6,100,3,b,37
A,MCCRCRBM,ortho,kidney,201,plain,PLAIN,138,ane,210,6,200,3,b,38
A,FRBDJMYR,ortho,lesson,201,pulp,PULP,139,ulp,210,6,100,3,b,39
A,KGDXKVYM,ortho,surface,201,quart,QUART,140,ort,210,6,400,3,b,40
