list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
A,QDCHHTXB,ortho,napkin,201,fell,FELL,131,ail,211,5,300,2,b,31
A,VWFQWJGJ,ortho,peach,201,harp,HARP,132,urp,211,5,400,2,b,32
A,PGMMRCBV,ortho,tinsel,201,kid,KID,133,arse,212,5,400,2,b,33
A,HWVJHJDY,ortho,carton,201,less,LESS,134,ince,212,5,300,2,b,34
A,WXVGXRVV,ortho,costume,201,nap,NAP,135,art,212,5,400,2,b,35
A,JNKSGBDK,ortho,fellow,201,pea,PEA,136,arge,212,5,500,2,b,36
A,MSKXMMQF,ortho,bellow,201,pert,PERT,137,aust,212,5,400,2,b,37
A,MCCRCRBM,ortho,kidney,201,plain,PLAIN,138,ell,212,5,100,2,b,38
A,FRBDJMYR,ortho,lesson,201,pulp,PULP,139,arp,212,5,200,2,b,39
A,KGDXKVYM,ortho,surface,201,quart,QUART,140,ell,212,5,400,2,b,40
A,CCJPXJWZ,ortho,barge,201,shove,SHOVE,141,of,210,6,500,2,b,41
A,CWQXYQWX,ortho,plaintiff,201,spar,SPAR,142,are,210,6,200,2,b,42
A,HHMPGLQK,ortho,bandit,201,surf,SURF,143,urf,210,6,100,2,b,43
A,ZPDYBWRD,ortho,shovel,201,tea,TEA,144,ee,210,6,500,2,b,44
A,MXJXYZKF,ortho,dragon,201,tin,TIN,145,in,210,6,100,2,b,45
A,YFBVZBQV,ortho,harpoon,201,twit,TWIT,146,it,210,6,500,2,b,46
A,MYCBHBKZ,ortho,pertain,201,vow,VOW,147,ow,210,6,400,2,b,47
A,DGHDRVHV,ortho,pulpit,201,yell,YELL,148,ell,210,6,400,2,b,48
A,XDDFVDTN,trans,rower,201,back,BACK,175,ock,211,5,400,2,b,73
A,KHFVKGVC,trans,bumper,201,bold,BOLD,176,ild,211,5,500,2,b,74
A,WMYHFWVM,trans,painter,201,box,BOX,177,ex,211,5,100,2,b,75
A,HGCTTLWG,trans,risky,201,bump,BUMP,178,omp,211,5,200,2,b,76
A,GPSYGCZL,trans,boxer,201,edit,EDIT,179,ide,211,5,100,2,b,77
A,ZPQKJNPX,trans,mutely,201,glum,GLUM,180,ome,211,5,500,2,b,78
A,JSPZCYHK,trans,vendor,201,grow,GROW,181,eye,211,5,100,2,b,79
A,FGXSGJXV,trans,rainy,201,hold,HOLD,182,ild,211,5,300,2,b,80
A,JXGVVYYQ,trans,leader,201,hunt,HUNT,183,end,212,5,300,2,b,81
A,CPBCTXVG,trans,walker,201,lead,LEAD,184,ed,212,5,500,2,b,82
A,VVXXWPSZ,trans,editor,201,mock,MOCK,185,isk,212,5,400,2,b,83
A,WWBZNBHS,trans,mockery,201,mute,MUTE,186,ock,212,5,300,2,b,84
A,XWZGBCMB,trans,holder,201,paint,PAINT,187,ock,212,5,200,2,b,85
A,HJHHCXKV,trans,wattage,201,pass,PASS,188,ump,212,5,100,2,b,86
A,HHXFVFHH,trans,talker,201,rain,RAIN,189,unt,212,5,300,2,b,87
A,FHZPDDXH,trans,sailor,201,risk,RISK,190,old,212,5,400,2,b,88
A,JZYPQJKZ,trans,hunter,201,row,ROW,191,oh,210,6,500,2,b,89
A,CJVMHMGV,trans,boldness,201,sail,SAIL,192,ail,210,6,200,2,b,90
A,ZVTCXDKQ,trans,grower,201,sing,SING,193,ing,210,6,200,2,b,91
A,MJCHFXXM,trans,singer,201,talk,TALK,194,ock,210,6,200,2,b,92
A,SSTZJSQZ,trans,glumly,201,vend,VEND,195,end,210,6,200,2,b,93
A,NLSZTDZH,trans,backer,201,view,VIEW,196,you,210,6,100,2,b,94
A,ZXYBHVCD,trans,passage,201,walk,WALK,197,ock,210,6,500,2,b,95
A,NFQFSCFP,trans,viewer,201,watt,WATT,198,ott,210,6,100,2,b,96
