list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
B,DRTQQXCL,ortho,pumpkin,201,ban,BAN,101,ine,211,5,100,2,b,1
B,ZMSXPJMX,ortho,ridge,201,bang,BANG,102,ung,211,5,300,2,b,2
B,VZZYRWWX,ortho,little,201,bee,BEE,103,eye,211,5,400,2,b,3
B,ZQSPDFFY,ortho,twinkle,201,bun,BUN,104,own,211,5,400,2,b,4
B,VJBJVVYV,ortho,sight,201,cash,CASH,105,ish,211,5,300,2,b,5
B,TVFJDVGK,ortho,harmony,201,coup,COUP,106,ow,211,5,500,2,b,6
B,QMGVZGPH,ortho,banjo,201,curt,CURT,107,ort,211,5,500,2,b,7
B,KQPQMLBG,ortho,hitch,201,free,FREE,108,oo,211,5,300,2,b,8
B,SKZBZSZC,ortho,lentil,201,harm,HARM,109,urge,212,5,100,2,b,9
B,JJPMDWSQ,ortho,freeze,201,hit,HIT,110,un,212,5,300,2,b,10
B,ZYYXXFXJ,ortho,bunch,201,lent,LENT,111,ind,212,5,100,2,b,11
B,YWMNPRFW,ortho,beech,201,lit,LIT,112,ump,212,5,300,2,b,12
B,QHYWFVDY,ortho,bangle,201,part,PART,113,it,212,5,500,2,b,13
B,GVBGYQVG,ortho,tendril,201,pin,PIN,114,an,212,5,100,2,b,14
B,WJWXQFJJ,ortho,starch,201,plant,PLANT,115,ink,212,5,300,2,b,15
B,XFGQGSHJ,ortho,vandal,201,pump,PUMP,116,id,212,5,200,2,b,16
B,QZFSBVLW,ortho,partner,201,rid,RID,117,id,210,6,400,2,b,17
B,BRRXZDLW,ortho,coupon,201,sigh,SIGH,118,eye,210,6,100,2,b,18
B,KPJNYYZV,ortho,cashew,201,star,STAR,119,are,210,6,100,2,b,19
B,HCDDFXJY,ortho,plantain,201,surge,SURGE,120,urge,210,6,400,2,b,20
B,ZBBQFJMH,ortho,surgeon,201,tend,TEND,121,end,210,6,500,2,b,21
B,CCVMCRBC,ortho,window,201,twin,TWIN,122,in,210,6,200,2,b,22
B,HGPBFHSP,ortho,curtail,201,van,VAN,123,an,210,6,400,2,b,23
B,YKMMBTZY,ortho,pinch,201,wind,WIND,124,ind,210,6,200,2,b,24
B,QFVZPDBF,trans,leakage,201,act,ACT,151,ict,211,5,300,2,b,49
B,JFTCTCTX,trans,killer,201,bind,BIND,152,and,211,5,300,2,b,50
B,ZHHDHDTY,trans,golfer,201,bomb,BOMB,153,im,211,5,100,2,b,51
B,CVXQDPLM,trans,soften,201,brew,BREW,154,ee,211,5,500,2,b,52
B,XXNMRZMW,trans,vastly,201,child,CHILD,155,old,211,5,300,2,b,53
B,MWVVWJKM,trans,binder,201,flex,FLEX,156,ox,211,5,300,2,b,54
B,JXJWBCBW,trans,shyness,201,golf,GOLF,157,ilf,211,5,300,2,b,55
B,ZFTWGKDQ,trans,pompous,201,herb,HERB,158,orb,211,5,200,2,b,56
B,FRDQRXSF,trans,voltage,201,hot,HOT,159,om,212,5,100,2,b,57
B,NXVFQQYG,trans,roller,201,kill,KILL,160,orm,212,5,500,2,b,58
B,PJBPPSPQ,trans,actor,201,leak,LEAK,161,aisle,212,5,400,2,b,59
B,DWDYTWTJ,trans,herbal,201,mile,MILE,162,act,212,5,500,2,b,60
B,FQSTXHZC,trans,bomber,201,mow,MOW,163,omp,212,5,500,2,b,61
B,DXZFYHFQ,trans,verbal,201,pack,PACK,164,ild,212,5,500,2,b,62
B,JCBBGFYC,trans,warmth,201,pomp,POMP,165,ott,212,5,500,2,b,63
B,BQHQYHQX,trans,mower,201,rent,RENT,166,off,212,5,300,2,b,64
B,WMYZGTKN,trans,childish,201,roll,ROLL,167,ole,210,6,500,2,b,65
B,GNCGCJQD,trans,hotly,201,rust,RUST,168,ust,210,6,400,2,b,66
B,FGKLVBMX,trans,rusty,201,shy,SHY,169,eye,210,6,400,2,b,67
B,QZVRMRMY,trans,package,201,soft,SOFT,170,oft,210,6,100,2,b,68
B,HHDHCHDD,trans,brewery,201,vast,VAST,171,ast,210,6,200,2,b,69
B,HKSWZZWN,trans,flexible,201,verb,VERB,172,erb,210,6,300,2,b,70
B,JRJCHFSC,trans,mileage,201,volt,VOLT,173,ult,210,6,300,2,b,71
B,VSPYQKVY,trans,renter,201,warm,WARM,174,orm,210,6,100,2,b,72
B,ZCZXSQYQ,ortho,bandit,200,band,BAND,125,end,211,5,400,2,b,25
B,CJDJHVHC,ortho,barge,200,bar,BAR,126,air,211,5,400,2,b,26
B,NMFVYYKN,ortho,bellow,200,bell,BELL,127,ill,211,5,200,2,b,27
B,GYFJJKDD,ortho,carton,200,cart,CART,128,ort,211,5,200,2,b,28
B,VWWKYYQJ,ortho,costume,200,cost,COST,129,ust,211,5,400,2,b,29
B,PXHMJVFL,ortho,dragon,200,drag,DRAG,130,eeg,211,5,200,2,b,30
B,QDCHHTXB,ortho,fellow,200,fell,FELL,131,ail,211,5,300,2,b,31
B,VWFQWJGJ,ortho,harpoon,200,harp,HARP,132,urp,211,5,400,2,b,32
B,PGMMRCBV,ortho,kidney,200,kid,KID,133,arse,212,5,400,2,b,33
B,HWVJHJDY,ortho,lesson,200,less,LESS,134,ince,212,5,300,2,b,34
B,WXVGXRVV,ortho,napkin,200,nap,NAP,135,art,212,5,400,2,b,35
B,JNKSGBDK,ortho,peach,200,pea,PEA,136,arge,212,5,500,2,b,36
B,MSKXMMQF,ortho,pertain,200,pert,PERT,137,aust,212,5,400,2,b,37
B,MCCRCRBM,ortho,plaintiff,200,plain,PLAIN,138,ell,212,5,100,2,b,38
B,FRBDJMYR,ortho,pulpit,200,pulp,PULP,139,arp,212,5,200,2,b,39
B,KGDXKVYM,ortho,quartz,200,quart,QUART,140,ell,212,5,400,2,b,40
B,CCJPXJWZ,ortho,shovel,200,shove,SHOVE,141,of,210,6,500,2,b,41
B,CWQXYQWX,ortho,sparse,200,spar,SPAR,142,are,210,6,200,2,b,42
B,HHMPGLQK,ortho,surface,200,surf,SURF,143,urf,210,6,100,2,b,43
B,ZPDYBWRD,ortho,tease,200,tea,TEA,144,ee,210,6,500,2,b,44
B,MXJXYZKF,ortho,tinsel,200,tin,TIN,145,in,210,6,100,2,b,45
B,YFBVZBQV,ortho,twitch,200,twit,TWIT,146,it,210,6,500,2,b,46
B,MYCBHBKZ,ortho,vowel,200,vow,VOW,147,ow,210,6,400,2,b,47
B,DGHDRVHV,ortho,yellow,200,yell,YELL,148,ell,210,6,400,2,b,48
B,XDDFVDTN,trans,backer,200,back,BACK,175,ock,211,5,400,2,b,73
B,KHFVKGVC,trans,boldness,200,bold,BOLD,176,ild,211,5,500,2,b,74
B,WMYHFWVM,trans,boxer,200,box,BOX,177,ex,211,5,100,2,b,75
B,HGCTTLWG,trans,bumper,200,bump,BUMP,178,omp,211,5,200,2,b,76
B,GPSYGCZL,trans,editor,200,edit,EDIT,179,ide,211,5,100,2,b,77
B,ZPQKJNPX,trans,glumly,200,glum,GLUM,180,ome,211,5,500,2,b,78
B,JSPZCYHK,trans,grower,200,grow,GROW,181,eye,211,5,100,2,b,79
B,FGXSGJXV,trans,holder,200,hold,HOLD,182,ild,211,5,300,2,b,80
B,JXGVVYYQ,trans,hunter,200,hunt,HUNT,183,end,212,5,300,2,b,81
B,CPBCTXVG,trans,leader,200,lead,LEAD,184,ed,212,5,500,2,b,82
B,VVXXWPSZ,trans,mockery,200,mock,MOCK,185,isk,212,5,400,2,b,83
B,WWBZNBHS,trans,mutely,200,mute,MUTE,186,ock,212,5,300,2,b,84
B,XWZGBCMB,trans,painter,200,paint,PAINT,187,ock,212,5,200,2,b,85
B,HJHHCXKV,trans,passage,200,pass,PASS,188,ump,212,5,100,2,b,86
B,HHXFVFHH,trans,rainy,200,rain,RAIN,189,unt,212,5,300,2,b,87
B,FHZPDDXH,trans,risky,200,risk,RISK,190,old,212,5,400,2,b,88
B,JZYPQJKZ,trans,rower,200,row,ROW,191,oh,210,6,500,2,b,89
B,CJVMHMGV,trans,sailor,200,sail,SAIL,192,ail,210,6,200,2,b,90
B,ZVTCXDKQ,trans,singer,200,sing,SING,193,ing,210,6,200,2,b,91
B,MJCHFXXM,trans,talker,200,talk,TALK,194,ock,210,6,200,2,b,92
B,SSTZJSQZ,trans,vendor,200,vend,VEND,195,end,210,6,200,2,b,93
B,NLSZTDZH,trans,viewer,200,view,VIEW,196,you,210,6,100,2,b,94
B,ZXYBHVCD,trans,walker,200,walk,WALK,197,ock,210,6,500,2,b,95
B,NFQFSCFP,trans,wattage,200,watt,WATT,198,ott,210,6,100,2,b,96
