list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
B,FQSTXHZC,trans,bomber,201,mow,MOW,163,oo,211,5,100,1,b,61
B,DXZFYHFQ,trans,verbal,201,pack,PACK,164,eek,211,5,300,1,b,62
B,JCBBGFYC,trans,warmth,201,pomp,POMP,165,ump,211,5,300,1,b,63
B,BQHQYHQX,trans,mower,201,rent,RENT,166,unt,211,5,500,1,b,64
B,WMYZGTKN,trans,childish,201,roll,ROLL,167,ack,212,5,300,1,b,65
B,GNCGCJQD,trans,hotly,201,rust,RUST,168,oh,212,5,500,1,b,66
B,FGKLVBMX,trans,rusty,201,shy,SHY,169,ult,212,5,100,1,b,67
B,QZVRMRMY,trans,package,201,soft,SOFT,170,ent,212,5,400,1,b,68
B,HHDHCHDD,trans,brewery,201,vast,VAST,171,eye,212,5,200,1,b,69
B,HKSWZZWN,trans,flexible,201,verb,VERB,172,ast,212,5,400,1,b,70
B,JRJCHFSC,trans,mileage,201,volt,VOLT,173,aind,212,5,400,1,b,71
B,VSPYQKVY,trans,renter,201,warm,WARM,174,ole,212,5,500,1,b,72
B,ZCZXSQYQ,ortho,bandit,200,band,BAND,125,and,210,6,500,1,b,25
B,CJDJHVHC,ortho,barge,200,bar,BAR,126,are,210,6,400,1,b,26
B,NMFVYYKN,ortho,bellow,200,bell,BELL,127,ell,210,6,500,1,b,27
B,GYFJJKDD,ortho,carton,200,cart,CART,128,art,210,6,400,1,b,28
B,VWWKYYQJ,ortho,costume,200,cost,COST,129,aust,210,6,100,1,b,29
B,PXHMJVFL,ortho,dragon,200,drag,DRAG,130,ag,210,6,300,1,b,30
B,QDCHHTXB,ortho,fellow,200,fell,FELL,131,ell,210,6,300,1,b,31
B,VWFQWJGJ,ortho,harpoon,200,harp,HARP,132,arp,210,6,300,1,b,32
B,PGMMRCBV,ortho,kidney,200,kid,KID,133,ide,211,5,300,1,b,33
B,HWVJHJDY,ortho,lesson,200,less,LESS,134,oss,211,5,100,1,b,34
B,WXVGXRVV,ortho,napkin,200,nap,NAP,135,op,211,5,400,1,b,35
B,JNKSGBDK,ortho,peach,200,pea,PEA,136,eye,211,5,200,1,b,36
B,MSKXMMQF,ortho,pertain,200,pert,PERT,137,art,211,5,100,1,b,37
B,MCCRCRBM,ortho,plaintiff,200,plain,PLAIN,138,en,211,5,200,1,b,38
B,FRBDJMYR,ortho,pulpit,200,pulp,PULP,139,alp,211,5,100,1,b,39
B,KGDXKVYM,ortho,quartz,200,quart,QUART,140,art,211,5,400,1,b,40
B,CCJPXJWZ,ortho,shovel,200,shove,SHOVE,141,urt,212,5,500,1,b,41
B,CWQXYQWX,ortho,sparse,200,spar,SPAR,142,urf,212,5,400,1,b,42
B,HHMPGLQK,ortho,surface,200,surf,SURF,143,eat,212,5,300,1,b,43
B,ZPDYBWRD,ortho,tease,200,tea,TEA,144,ell,212,5,400,1,b,44
B,MXJXYZKF,ortho,tinsel,200,tin,TIN,145,ease,212,5,200,1,b,45
B,YFBVZBQV,ortho,twitch,200,twit,TWIT,146,ane,212,5,300,1,b,46
B,MYCBHBKZ,ortho,vowel,200,vow,VOW,147,id,212,5,400,1,b,47
B,DGHDRVHV,ortho,yellow,200,yell,YELL,148,ow,212,5,300,1,b,48
B,XDDFVDTN,trans,backer,200,back,BACK,175,ack,210,6,200,1,b,73
B,KHFVKGVC,trans,boldness,200,bold,BOLD,176,old,210,6,500,1,b,74
B,WMYHFWVM,trans,boxer,200,box,BOX,177,ox,210,6,300,1,b,75
B,HGCTTLWG,trans,bumper,200,bump,BUMP,178,ump,210,6,400,1,b,76
B,GPSYGCZL,trans,editor,200,edit,EDIT,179,ed,210,6,500,1,b,77
B,ZPQKJNPX,trans,glumly,200,glum,GLUM,180,um,210,6,500,1,b,78
B,JSPZCYHK,trans,grower,200,grow,GROW,181,oh,210,6,200,1,b,79
B,FGXSGJXV,trans,holder,200,hold,HOLD,182,old,210,6,100,1,b,80
B,JXGVVYYQ,trans,hunter,200,hunt,HUNT,183,aint,211,5,400,1,b,81
B,CPBCTXVG,trans,leader,200,lead,LEAD,184,id,211,5,500,1,b,82
B,VVXXWPSZ,trans,mockery,200,mock,MOCK,185,ick,211,5,100,1,b,83
B,WWBZNBHS,trans,mutely,200,mute,MUTE,186,ote,211,5,400,1,b,84
B,XWZGBCMB,trans,painter,200,paint,PAINT,187,ent,211,5,200,1,b,85
B,HJHHCXKV,trans,passage,200,pass,PASS,188,ess,211,5,200,1,b,86
B,HHXFVFHH,trans,rainy,200,rain,RAIN,189,een,211,5,500,1,b,87
B,FHZPDDXH,trans,risky,200,risk,RISK,190,ask,211,5,500,1,b,88
B,JZYPQJKZ,trans,rower,200,row,ROW,191,you,212,5,400,1,b,89
B,CJVMHMGV,trans,sailor,200,sail,SAIL,192,yoot,212,5,500,1,b,90
B,ZVTCXDKQ,trans,singer,200,sing,SING,193,ock,212,5,500,1,b,91
B,MJCHFXXM,trans,talker,200,talk,TALK,194,aint,212,5,500,1,b,92
B,SSTZJSQZ,trans,vendor,200,vend,VEND,195,ott,212,5,500,1,b,93
B,NLSZTDZH,trans,viewer,200,view,VIEW,196,um,212,5,200,1,b,94
B,ZXYBHVCD,trans,walker,200,walk,WALK,197,ox,212,5,300,1,b,95
B,NFQFSCFP,trans,wattage,200,watt,WATT,198,ane,212,5,500,1,b,96
