list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
B,MYCBHBKZ,ortho,vowel,200,vow,VOW,147,oo,211,4,200,3,b,47
B,DGHDRVHV,ortho,yellow,200,yell,YELL,148,all,211,4,200,3,b,48
B,XDDFVDTN,trans,backer,200,back,BACK,175,ail,212,4,100,3,b,73
B,KHFVKGVC,trans,boldness,200,bold,BOLD,176,ass,212,4,400,3,b,74
B,WMYHFWVM,trans,boxer,200,box,BOX,177,ack,212,4,400,3,b,75
B,HGCTTLWG,trans,bumper,200,bump,BUMP,178,eed,212,4,400,3,b,76
B,GPSYGCZL,trans,editor,200,edit,EDIT,179,ing,212,4,200,3,b,77
B,ZPQKJNPX,trans,glumly,200,glum,GLUM,180,oh,212,4,400,3,b,78
B,JSPZCYHK,trans,grower,200,grow,GROW,181,oh,212,4,400,3,b,79
B,FGXSGJXV,trans,holder,200,hold,HOLD,182,old,212,4,100,3,b,80
B,JXGVVYYQ,trans,hunter,200,hunt,HUNT,183,unt,210,5,400,3,b,81
B,CPBCTXVG,trans,leader,200,lead,LEAD,184,eed,210,5,500,3,b,82
B,VVXXWPSZ,trans,mockery,200,mock,MOCK,185,ock,210,5,500,3,b,83
B,WWBZNBHS,trans,mutely,200,mute,MUTE,186,yoot,210,5,500,3,b,84
B,XWZGBCMB,trans,painter,200,paint,PAINT,187,aint,210,5,100,3,b,85
B,HJHHCXKV,trans,passage,200,pass,PASS,188,ass,210,5,100,3,b,86
B,HHXFVFHH,trans,rainy,200,rain,RAIN,189,ane,210,5,100,3,b,87
B,FHZPDDXH,trans,risky,200,risk,RISK,190,isk,210,5,400,3,b,88
B,JZYPQJKZ,trans,rower,200,row,ROW,191,ee,211,4,400,3,b,89
B,CJVMHMGV,trans,sailor,200,sail,SAIL,192,aisle,211,4,400,3,b,90
B,ZVTCXDKQ,trans,singer,200,sing,SING,193,ang,211,4,200,3,b,91
B,MJCHFXXM,trans,talker,200,talk,TALK,194,eek,211,4,100,3,b,92
B,SSTZJSQZ,trans,vendor,200,vend,VEND,195,ind,211,4,500,3,b,93
B,NLSZTDZH,trans,viewer,200,view,VIEW,196,oh,211,4,300,3,b,94
B,ZXYBHVCD,trans,walker,200,walk,WALK,197,ack,211,4,200,3,b,95
B,NFQFSCFP,trans,wattage,200,watt,WATT,198,oot,211,4,400,3,b,96
