list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
B,CYPSVBWH,opq_con,texture,200,text,TEXT,45,art,212,4,100,1,a,45
B,HGGNFZZZ,opq_con,topic,200,top,TOP,46,op,212,4,500,1,a,46
B,MGYKNJNL,opq_con,traitor,200,trait,TRAIT,47,act,212,4,100,1,a,47
B,YNDQLBYN,opq_con,wicker,200,wick,WICK,48,arsh,212,4,100,1,a,48
B,SZKDJNXC,opq_inc,brother,200,broth,BROTH,75,auTH (unvoiced),210,5,400,1,a,73
B,VBMHFQZV,opq_inc,callous,200,call,CALL,76,all,210,5,400,1,a,74
B,JYVVXYVB,opq_inc,cater,200,cat,CAT,77,at,210,5,400,1,a,75
B,FBXXGXDV,opq_inc,copious,200,cop,COP,78,op,210,5,200,1,a,76
B,GWQXQHWP,opq_inc,cubic,200,cub,CUB,79,ub,210,5,200,1,a,77
B,KHYQJDDX,opq_inc,fiber,200,fib,FIB,80,ib,210,5,500,1,a,78
B,GBMHGVJJ,opq_inc,flower,200,flow,FLOW,81,oh,210,5,400,1,a,79
B,XKZBSQHV,opq_inc,gallant,200,gall,GALL,82,all,210,5,300,1,a,80
B,MWKQYJQD,opq_inc,gluten,200,glut,GLUT,83,oot,211,4,300,1,a,81
B,BQFFVQMC,opq_inc,hideous,200,hide,HIDE,84,id,211,4,100,1,a,82
B,LXYPLZDB,opq_inc,hostage,200,host,HOST,85,aust,211,4,500,1,a,83
B,RMBQBSFH,opq_inc,legal,200,leg,LEG,86,eeg,211,4,300,1,a,84
B,LWGVNJBQ,opq_inc,mother,200,moth,MOTH,87,uth (voiced),211,4,200,1,a,85
B,WZKSKSFT,opq_inc,pallor,200,pall,PALL,88,ael,211,4,300,1,a,86
B,WNXRJNTQ,opq_inc,plumage,200,plum,PLUM,89,oom,211,4,100,1,a,87
B,HCLZVDVZ,opq_inc,posture,200,post,POST,90,ostch,211,4,500,1,a,88
B,BVQQPQPN,opq_inc,rotary,200,rot,ROT,91,uth (voiced),212,4,400,1,a,89
B,KDJWQFPP,opq_inc,scary,200,scar,SCAR,92,all,212,4,100,1,a,90
B,VQYDYZDX,opq_inc,shower,200,show,SHOW,93,air,212,4,300,1,a,91
B,KFZYJYDZ,opq_inc,sober,200,sob,SOB,94,at,212,4,300,1,a,92
B,MXMMXCTW,opq_inc,spurious,200,spur,SPUR,95,ael,212,4,400,1,a,93
B,HGGHQDVM,opq_inc,tonal,200,ton,TON,96,ostch,212,4,200,1,a,94
B,HBQXJPKQ,opq_inc,trolley,200,troll,TROLL,97,ow,212,4,300,1,a,95
B,KYDXFZDN,opq_inc,wager,200,wag,WAG,98,oot,212,4,500,1,a,96
